"Sl. No.","","lat","long","State/UT-wise","","","Annual Irrigation Draft","Annual Domestic and Industrial Draft","Annual Groundwater Draft(Total)","","","","st","latnew","longnew"
"1","","11.668333","92.737778","Andaman and Nicobar Islands","","","0","0.011","0.01","","","","Andaman And Nicobar ","11.66702557","92.73598262"
"2","","16.4858","80.3937","Andhra Pradesh","","","6.6","1.03","7.63","","","","Andhra Pradesh ","14.7504291","78.57002559"
"3","","27.1002613","93.6282052","Arunachal Pradesh","","","0.003","0.01","0.01","","","","Arunachal Pradesh ","27.10039878","93.61660071"
"4","","26.142434","91.7883423","Assam","","","1.97","0.61","2.58","","","","Assam ","26.7499809","94.21666744"
"5","","25.611","85.144","Bihar","","","10.33","2.69","13.02","","","","Bihar ","25.78541445","87.4799727"
"6","","30.7333","76.7794","Chandigarh","","","0.01","0.032","0.05","","","","Chandigarh ","30.71999697","76.78000565"
"7","","21.2455162","81.6420539","Chhattisgarh","","","4.53","0.81","5.35","","","","Chhattisgarh ","22.09042035","82.15998734"
"8","","20.277277","73.000022","Dadra & Nagar Haveli","","","0.01","0.03","0.03","","","","Dadra And Nagar Haveli ","20.26657819","73.0166178"
"9","","20.42","72.85","Daman & Diu","","","0.003","0.03","0.03","","","","Delhi ","28.6699929","77.23000403"
"10","","28.613889","77.208889","Delhi","","","0.07","0.22","0.29","","","","Goa ","15.491997","73.81800065"
"11","","15.498889","73.827778","Goa","","","0.02","0.054","0.08","","","","Haryana ","28.45000633","77.01999101"
"12","","23.22","72.68","Gujarat","","","12.65","0.65","13.3","","","","Himachal Pradesh ","31.10002545","77.16659704"
"13","","29.0588","76.0856","Haryana","","","10.47","1.15","11.61","","","","Jammu And Kashmir ","34.29995933","74.46665849"
"14","","31.087425","77.17939","Himachal Pradesh","","","0.2","0.15","0.36","","","","Jharkhand ","23.80039349","86.41998572"
"15","","33.2778","75.3412","Jammu and Kashmir","","","0.2","0.69","0.89","","","","Karnataka ","12.57038129","76.91999711"
"16","","23.34768","85.323783","Jharkhand","","","0.93","0.71","1.64","","","","Kerala ","8.900372741","76.56999263"
"17","","12.966667","77.566667","Karnataka","","","9.6","1.03","10.63","","","","Lakshadweep ","10.56257331","72.63686717"
"18","","8.4875","76.9525","Kerala","","","1.16","1.48","2.65","","","","Madhya Pradesh ","21.30039105","76.13001949"
"19","","34.2268","77.5619","Ladakh","","","0.001","0.02","0.02","","","","Maharashtra ","19.25023195","73.16017493"
"20","","10.55","72.633003","Lakshadweep","","","0","0.003","0.003","","","","Manipur ","24.79997072","93.95001705"
"21","","23.1395268","77.4085754","Madhya Pradesh","","","17.33","1.64","18.97","","","","Meghalaya ","25.57049217","91.8800142"
"22","","18.975","72.825833","Maharashtra","","","15.29","1.343","16.63","","","","Mizoram ","23.71039899","92.72001461"
"23","","24.8021535","93.938618","Manipur","","","0.003","0.02","0.02","","","","Nagaland ","25.6669979","94.11657019"
"24","","25.57949","91.893723","Meghalaya","","","0.03","0.05","0.08","","","","Orissa ","19.82042971","85.90001746"
"25","","23.727222","92.717778","Mizoram","","","0","0.01","0.01","","","","Puducherry ","11.93499371","79.83000037"
"26","","25.6701","94.1077","Nagaland","","","0.002","0.02","0.02","","","","Punjab ","31.51997398","75.98000281"
"27","","20.27","85.84","Odisha","","","5.5","1.36","6.86","","","","Rajasthan ","26.44999921","74.63998124"
"28","","11.930965","79.785182","Puducherry","","","0.1","0.06","0.15","","","","Sikkim ","27.3333303","88.6166475"
"29","","31.1471","75.3412","Punjab","","","32.8","1.05","33.85","","","","Tamil Nadu ","12.92038576","79.15004187"
"30","","26.9210387","75.7943593","Rajasthan","","","14.37","2.27","16.63","","","","Tripura ","23.83540428","91.27999914"
"31","","27.3304879","88.6135512","Sikkim","","","0","0.012","0.01","","","","Uttar Pradesh ","27.59998069","78.05000565"
"32","","13.066956","80.1693","Tamil Nadu","","","13.52","1.16","14.67","","","","Uttaranchal ","30.32040895","78.05000565"
"33","","17.366","78.476","Telangana","","","7.13","0.87","8.01","","","","West Bengal ","22.58039044","88.32994665"
"34","","23.8338203","91.2824216","Tripura","","","0.02","0.08","0.1","","","","","",""
"35","","26.847","80.947","Uttar Pradesh","","","41.29","4.74","46.03","","","","","",""
"36","","30.181179","78.122032","Uttarakhand","","","0.63","0.24","0.87","","","","","",""
"37","","22.5655734","88.3702152","West Bengal","","","10.84","1","11.84","","","","","",""
